Key,rule,Message,name,mdDesc,severity,remFnBaseEffort,cleanCodeAttribute,cleanCodeAttributeCategory,impacts,securityStandards
AZHFJ8MWTlwiQl6exCX5,c:S1905,Remove this redundant cast.,Redundant casts should not be used,"<h2>Why is this an issue?</h2>
<p>Casting expressions are utilized to convert one data type to another, such as transforming an integer into a string. This is especially crucial in
strongly typed languages like C, C++, C#, Java, Python, and others.</p>
<p>However, there are instances where casting expressions are not needed. These include situations like:</p>
<ul>
  <li> casting a variable to its own type </li>
  <li> casting a subclass to a parent class (in the case of polymorphism) </li>
  <li> the programming language is capable of automatically converting the given type to another </li>
</ul>
<p>These scenarios are considered unnecessary casting expressions. They can complicate the code and make it more difficult to understand, without
offering any advantages.</p>
<p>As a result, it’s generally advised to avoid unnecessary casting expressions. Instead, rely on the language’s type system to ensure type safety and
code clarity.</p>
<h3>Exceptions</h3>
<p>In some rare cases, a redundant cast might be justifiable. For example, when casting from platform dependant types: your cast might be redundant on
one platform but not on the others.</p>
<h2>How to fix it</h2>
<p>To fix your code, remove the unnecessary casting expression.</p>
<h3>Code examples</h3>
<h4>Noncompliant code example</h4>
<pre data-diff-id=""1"" data-diff-type=""noncompliant"">
int example(int i) {
  int result = static_cast&lt;int&gt;(i + 42); // Noncompliant
  return (int) result; // Noncompliant
}
</pre>
<h4>Compliant solution</h4>
<pre data-diff-id=""1"" data-diff-type=""compliant"">
int example(int i) {
 int result = i + 42;
 return result;
}
</pre>
<h2>Resources</h2>
<h3>Documentation</h3>
<ul>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Type_conversion"">Type Conversion</a> </li>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Strong_and_weak_typing"">Strong and Weak Typing</a> </li>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Polymorphism_(computer_science)""> Polymorphism (Computer Science)</a> </li>
</ul>",MINOR,5min,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",[]
AZHFJ8MWTlwiQl6exCX6,c:S1905,Remove this redundant cast.,Redundant casts should not be used,"<h2>Why is this an issue?</h2>
<p>Casting expressions are utilized to convert one data type to another, such as transforming an integer into a string. This is especially crucial in
strongly typed languages like C, C++, C#, Java, Python, and others.</p>
<p>However, there are instances where casting expressions are not needed. These include situations like:</p>
<ul>
  <li> casting a variable to its own type </li>
  <li> casting a subclass to a parent class (in the case of polymorphism) </li>
  <li> the programming language is capable of automatically converting the given type to another </li>
</ul>
<p>These scenarios are considered unnecessary casting expressions. They can complicate the code and make it more difficult to understand, without
offering any advantages.</p>
<p>As a result, it’s generally advised to avoid unnecessary casting expressions. Instead, rely on the language’s type system to ensure type safety and
code clarity.</p>
<h3>Exceptions</h3>
<p>In some rare cases, a redundant cast might be justifiable. For example, when casting from platform dependant types: your cast might be redundant on
one platform but not on the others.</p>
<h2>How to fix it</h2>
<p>To fix your code, remove the unnecessary casting expression.</p>
<h3>Code examples</h3>
<h4>Noncompliant code example</h4>
<pre data-diff-id=""1"" data-diff-type=""noncompliant"">
int example(int i) {
  int result = static_cast&lt;int&gt;(i + 42); // Noncompliant
  return (int) result; // Noncompliant
}
</pre>
<h4>Compliant solution</h4>
<pre data-diff-id=""1"" data-diff-type=""compliant"">
int example(int i) {
 int result = i + 42;
 return result;
}
</pre>
<h2>Resources</h2>
<h3>Documentation</h3>
<ul>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Type_conversion"">Type Conversion</a> </li>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Strong_and_weak_typing"">Strong and Weak Typing</a> </li>
  <li> Wikipedia - <a href=""https://en.wikipedia.org/wiki/Polymorphism_(computer_science)""> Polymorphism (Computer Science)</a> </li>
</ul>",MINOR,5min,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",[]
AZHFJ8MWTlwiQl6exCXa,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
AZHFJ8MWTlwiQl6exCXb,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
AZHFJ8MWTlwiQl6exCXc,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
AZHFJ8MXTlwiQl6exCX8,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dma_chnl_cfg"" is ""struct xgmac_dma_chnl_config *const"".","Pointer and reference local variables should be ""const"" if the corresponding object is not modified","<h2>Why is this an issue?</h2>
<p>This rule leads to greater precision in the definition of local variables by making the developer intention about modifying the variable explicit.
The <code>const</code> qualification shall be applied to the object pointed to, not to the pointer, since it is the object itself that is being
protected.</p>
<h3>Noncompliant code example</h3>
<pre>
std::string&amp; getString();
void myfunc()
{
  std::string&amp; s = getString(); // Noncompliant
  if (s.size()) {
   std::cout &lt;&lt; s;
  }
}
</pre>
<h3>Compliant solution</h3>
<pre>
std::string&amp; getString();
void myfunc () {
  const std::string&amp; x = getString();
  if (s.size()) {
    std::cout &lt;&lt; s;
  }
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2012, 8.13 - A pointer should point to a const-qualified type whenever possible </li>
</ul>",MINOR,2min,CLEAR,INTENTIONAL,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",[]
AZHFJ8MWTlwiQl6exCXd,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
AZHFJ8MWTlwiQl6exCX7,c:S5955,"Declare the variable ""dma_chnl"" inside the loop.",Loop variables should be declared in the minimal possible scope,"<h2>Why is this an issue?</h2>
<p>When a loop variable is not used outside of a loop, it should be declared inside the loop declaration:</p>
<ul>
  <li> It improves readability. The scope of the variable is clearly defined. </li>
  <li> It reduces the number of mistakes. The variable can’t be accidentally misused outside of the loop. </li>
  <li> Resources are not retained longer than necessary. </li>
</ul>
<h3>Noncompliant code example</h3>
<pre data-diff-id=""1"" data-diff-type=""noncompliant"">
void f() {
  int i = 0; // Noncompliant: i is not used outside of the loop
  for (i = 0; i &lt; 10; ++i) {
    std::cout &lt;&lt; i &lt;&lt; std::endl;
  }
}
</pre>
<h3>Compliant solution</h3>
<pre data-diff-id=""1"" data-diff-type=""compliant"">
void f() {
  for (int i = 0; i &lt; 10; ++i) {
    std::cout &lt;&lt; i &lt;&lt; std::endl;
  }
}
</pre>
<h2>Resources</h2>
<ul>
  <li> C++ Core Guidelines - <a href=""https://github.com/isocpp/CppCoreGuidelines/blob/e49158a/CppCoreGuidelines.md#es5-keep-scopes-small"">ES.5: Keep
  scopes small</a> </li>
</ul>",MINOR,5min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}]",[]
AZHFJ8MWTlwiQl6exCXe,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
AZHFJ8MWTlwiQl6exCXf,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier,A cast shall not remove any const or volatile qualification from the type of a pointer or reference,"<h2>Why is this an issue?</h2>
<p>Using <code>const</code> in your code improves reliability and maintenance. When passing a <code>const</code> value, developers assume that its
value won’t be changed. But using <code>const_cast&lt;&gt;()</code> to cast away a <code>const</code> qualifier, destroys developer assumptions and
code reliability. It is a bad practice and reveals a flaw in the design. Furthermore, it may have an undefined behavior.</p>
<h3>Noncompliant code example</h3>
<pre>
User&amp; func(const int&amp; value, const User&amp; user) {
  const_cast&lt;int&amp;&gt;(value) = 2; // Noncompliant and undefined behavior
  return const_cast&lt;User&amp;&gt;(user); // Noncompliant
}
</pre>
<h3>Compliant solution</h3>
<pre>
User&amp; func(int&amp; value, User&amp; user) {
  value = 2;
  return user;
}
</pre>
<h2>Resources</h2>
<ul>
  <li> MISRA C:2004, 11.5 - A cast shall not be performed that removes any const or volatile qualification from the type addressed by a pointer </li>
  <li> MISRA C++:2008, 5-2-5 - A cast shall not remove any const or volatile qualification from the type of a pointer or reference </li>
  <li> MISRA C:2012, 11.8 - A cast shall not remove any const or volatile qualification from the type pointed to by a pointer </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/HNcxBQ"">CERT, EXP32-C.</a> - Do not access a volatile object through a nonvolatile reference
  </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/P9YxBQ"">CERT, EXP05-C.</a> - Do not cast away a const qualification </li>
  <li> <a href=""https://wiki.sei.cmu.edu/confluence/x/AHw-BQ"">CERT, EXP55-CPP.</a> - Do not access a cv-qualified object through a cv-unqualified type
  </li>
  <li> C++ Core Guidelines Type.3 - Don’t use const_cast to cast away const (i.e., at all): Don’t cast away const. </li>
</ul>",CRITICAL,20min,MODULAR,ADAPTABLE,"[{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}]",[]
