rule,conteo
c:S1066,6
c:S108,6
c:S1103,3
c:S1110,6
c:S1116,2
c:S1134,2
c:S1135,8
c:S1172,65
c:S1186,2
c:S125,3
c:S1301,4
c:S134,12
c:S1481,3
c:S1659,40
c:S1820,1
c:S1854,10
c:S1905,33
c:S2234,2
c:S3358,7
c:S3458,2
c:S3491,1
c:S3646,4
c:S3687,9
c:S3776,32
c:S5350,27
c:S5955,4
c:S824,2
c:S859,46
c:S886,1
c:S912,6
c:S924,6
c:S936,2
c:S954,18
c:S959,2
c:S995,66
cpp:S1116,1
cpp:S1172,3
cpp:S4962,3
cpp:S5008,3
cpp:S5205,1
cpp:S5421,1
cpp:S5566,1
cpp:S5945,15
cpp:S6022,1
cpp:S995,4
javascript:S2004,1
javascript:S2703,1
python:S108,2
python:S112,11
python:S1192,3
python:S3358,1
python:S3776,5
