Key,rule,Message
AZHFJ8MWTlwiQl6exCX5,c:S1905,Remove this redundant cast.
AZHFJ8MWTlwiQl6exCX6,c:S1905,Remove this redundant cast.
AZHFJ8MWTlwiQl6exCXa,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXb,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier
AZHFJ8MWTlwiQl6exCXc,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier
AZHFJ8MXTlwiQl6exCX8,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dma_chnl_cfg"" is ""struct xgmac_dma_chnl_config *const""."
AZHFJ8MWTlwiQl6exCXd,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCX7,c:S5955,"Declare the variable ""dma_chnl"" inside the loop."
AZHFJ8MWTlwiQl6exCXe,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier
AZHFJ8MWTlwiQl6exCXf,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier
AZHFJ8MWTlwiQl6exCXg,c:S859,cast from 'const struct xgmac_mtl_config *' to 'struct xgmac_mtl_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCX9,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCX-,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCX_,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""addr"" is ""unsigned char *""."
AZHFJ8MXTlwiQl6exCYA,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""data"" is ""struct eth_dwc_xgmac_dev_data *const""."
AZHFJ8MWTlwiQl6exCXh,c:S859,cast from 'const struct xgmac_mac_config *' to 'struct xgmac_mac_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYB,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""mac_cfg"" is ""struct xgmac_mac_config *const""."
AZHFJ8MXTlwiQl6exCYC,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYD,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYE,c:S3776,Refactor this function to reduce its Cognitive Complexity from 33 to the 25 allowed.
AZHFJ8MWTlwiQl6exCXi,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXj,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXk,c:S859,cast from 'volatile struct xgmac_dma_rx_desc_meta *' to 'struct xgmac_dma_rx_desc_meta *' drops volatile qualifier
AZHFJ8MXTlwiQl6exCYI,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYG,c:S1659,Define each identifier in a dedicated statement.
AZHFJ8MXTlwiQl6exCYH,c:S1659,Define each identifier in a dedicated statement.
AZHFJ8MXTlwiQl6exCYJ,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYK,c:S1110,Remove these redundant parentheses.
AZHFJ8MXTlwiQl6exCYL,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYM,c:S1110,Remove these redundant parentheses.
AZHFJ8MXTlwiQl6exCYF,c:S134,Refactor this code to not nest more than 3 if|for|do|while|switch statements.
AZHFJ8MXTlwiQl6exCYN,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYO,c:S1110,Remove these redundant parentheses.
AZHFJ8MWTlwiQl6exCXl,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYP,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dma_chnl_cfg"" is ""struct xgmac_dma_chnl_config *""."
AZHFJ8MWTlwiQl6exCXm,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXn,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier
AZHFJ8MXTlwiQl6exCYQ,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYR,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYS,c:S1905,Remove this redundant cast.
AZHFJ8MWTlwiQl6exCXo,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXp,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYT,c:S1905,Remove this redundant cast.
AZHFJ8MXTlwiQl6exCYU,c:S5350,"Make the type of this variable a pointer-to-const. The current type of ""dev_data"" is ""struct eth_dwc_xgmac_dev_data *""."
AZHFJ8MXTlwiQl6exCYV,c:S1905,Remove this redundant cast.
AZHFJ8MWTlwiQl6exCXq,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MXTlwiQl6exCYW,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""state"" is ""struct phy_link_state *""."
AZHFJ8MXTlwiQl6exCYX,c:S995,"Make the type of this parameter a pointer-to-const. The current type of ""user_data"" is ""void *""."
AZHFJ8MXTlwiQl6exCYY,c:S3458,"Remove this redundant ""case"" clause."
AZHFJ8MWTlwiQl6exCXr,c:S859,cast from 'const void *' to 'struct eth_dwc_xgmac_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXs,c:S859,cast from 'const struct xgmac_dma_chnl_config *' to 'struct xgmac_dma_chnl_config *' drops const qualifier
AZHFJ8MWTlwiQl6exCXt,c:S859,cast from 'volatile struct xgmac_dma_tx_desc_meta *' to 'struct xgmac_dma_tx_desc_meta *' drops volatile qualifier
